12,90;4,62;24,00
13,50;4,36;25,00
11,30;5,34;23,00
11,80;5,00;33,00
12,50;4,89;28,00
12,60;4,39;26,00
11,30;5,57;22,00
11,90;4,55;22,00
15,30;4,80;28,00
15,43;5,00;26,00
13,90;4,70;28,00
14,10;4,90;28,00
13,67;5,10;23,00
14,73;5,80;17,00
14,50;5,00;19,00
14,73;5,70;17,00
14,03;4,60;26,00
13,90;4,90;26,00
13,30;4,30;28,00
13,63;4,60;19,00
13,10;4,50;28,00
13,43;5,40;23,00
13,63;4,90;26,00
13,77;5,50;21,00
12,90;9,84;10,24
13,30;10,23;11,52
12,50;10,11;9,60
12,10;10,15;7,68
12,90;9,73;10,24
12,90;9,96;11,52
12,10;8,54;10,24
12,30;8,61;10,24
13,10;10,24;9,60
13,30;10,16;10,24
12,50;10,51;10,24
12,30;10,67;9,60
12,50;9,96;10,24
12,90;10,00;11,52
12,00;8,99;9,60
11,90;8,98;10,24
